YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_ARR_1,DLY_APT_ARR_1,DLY_APT_ARR_A_1,DLY_APT_ARR_C_1,DLY_APT_ARR_D_1,DLY_APT_ARR_E_1,DLY_APT_ARR_G_1,DLY_APT_ARR_I_1,DLY_APT_ARR_M_1,DLY_APT_ARR_N_1,DLY_APT_ARR_O_1,DLY_APT_ARR_P_1,DLY_APT_ARR_R_1,DLY_APT_ARR_S_1,DLY_APT_ARR_T_1,DLY_APT_ARR_V_1,DLY_APT_ARR_W_1,DLY_APT_ARR_NA_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,ATFM_VERSION
2022,1,JAN,1-Jan-2022,LFLB,Chambéry-Aix-les-Bains,France,18,,,,,,,,,,,,,,,,,,,,v2,Chambéry-Aix-les-Bains (LFLB)
2022,1,JAN,1-Jan-2022,LGSA,Khania/Souda,Greece,9,,,,,,,,,,,,,,,,,,,,v2,Khania/Souda (LGSA)
2022,1,JAN,1-Jan-2022,LGSR,Santorini,Greece,5,,,,,,,,,,,,,,,,,,,,v2,Santorini (LGSR)
2022,1,JAN,1-Jan-2022,ELLX,Luxembourg,Luxembourg,63,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,5,1,v2,Luxembourg (ELLX)
2022,1,JAN,1-Jan-2022,EDDN,Nuremberg,Germany,14,,,,,,,,,,,,,,,,,,,,v2,Nuremberg (EDDN)
2022,1,JAN,1-Jan-2022,LTFJ,Istanbul/ Sabiha Gökçen,Turkey,218,,,,,,,,,,,,,,,,,,,,v2,Istanbul/ Sabiha Gökçen (LTFJ)
2022,1,JAN,1-Jan-2022,EFHK,Helsinki/ Vantaa,Finland,141,,,,,,,,,,,,,,,,,,,,v2,Helsinki/ Vantaa (EFHK)
2022,1,JAN,1-Jan-2022,EGNT,Newcastle,United Kingdom,12,,,,,,,,,,,,,,,,,,,,v2,Newcastle (EGNT)
2022,1,JAN,1-Jan-2022,EHBK,Maastricht-Aachen,Netherlands,5,,,,,,,,,,,,,,,,,,,,v2,Maastricht-Aachen (EHBK)
2022,1,JAN,1-Jan-2022,GCTS,Tenerife Sur/Reina Sofia,Spain,124,,,,,,,,,,,,,,,,,,,,v2,Tenerife Sur/Reina Sofia (GCTS)
2022,1,JAN,1-Jan-2022,LETO,Madrid/Torrejon,Spain,1,,,,,,,,,,,,,,,,,,,,v2,Madrid/Torrejon (LETO)
2022,1,JAN,1-Jan-2022,LIPZ,Venice,Italy,73,,,,,,,,,,,,,,,,,,,,v2,Venice (LIPZ)
2022,1,JAN,1-Jan-2022,LKTB,Brno-Tuřany,Czech Republic,1,,,,,,,,,,,,,,,,,,,,v2,Brno-Tuřany (LKTB)
2022,1,JAN,1-Jan-2022,LTBJ,İzmir/ Adnan Menderes,Turkey,65,,,,,,,,,,,,,,,,,,,,v2,İzmir/ Adnan Menderes (LTBJ)
2022,1,JAN,1-Jan-2022,EETN,Tallinn,Estonia,30,,,,,,,,,,,,,,,,,,,,v2,Tallinn (EETN)
2022,1,JAN,1-Jan-2022,LFMD,Cannes-Mandelieu,France,6,,,,,,,,,,,,,,,,,,,,v2,Cannes-Mandelieu (LFMD)
2022,1,JAN,1-Jan-2022,UGTB,Tbilisi,Georgia,28,,,,,,,,,,,,,,,,,,,,v2,Tbilisi (UGTB)
2022,1,JAN,1-Jan-2022,LFRN,Rennes-Saint-Jacques,France,7,,,,,,,,,,,,,,,,,,,,v2,Rennes-Saint-Jacques (LFRN)
2022,1,JAN,1-Jan-2022,EDDP,Leipzig-Halle,Germany,40,,,,,,,,,,,,,,,,,,,,v2,Leipzig-Halle (EDDP)
2022,1,JAN,1-Jan-2022,LEAS,Asturias,Spain,9,,,,,,,,,,,,,,,,,,,,v2,Asturias (LEAS)
2022,1,JAN,1-Jan-2022,EPBY,Bydgoszcz,Poland,1,,,,,,,,,,,,,,,,,,,,v2,Bydgoszcz (EPBY)
2022,1,JAN,1-Jan-2022,EBLG,Liège,Belgium,24,,,,,,,,,,,,,,,,,,,,v2,Liège (EBLG)
2022,1,JAN,1-Jan-2022,EBOS,Ostend-Bruges,Belgium,5,,,,,,,,,,,,,,,,,,,,v2,Ostend-Bruges (EBOS)
2022,1,JAN,1-Jan-2022,EGBB,Birmingham,United Kingdom,52,,,,,,,,,,,,,,,,,,,,v2,Birmingham (EGBB)
2022,1,JAN,1-Jan-2022,LGTS,Thessaloniki,Greece,39,,,,,,,,,,,,,,,,,,,,v2,Thessaloniki (LGTS)
2022,1,JAN,1-Jan-2022,GCRR,Lanzarote,Spain,100,,,,,,,,,,,,,,,,,,,,v2,Lanzarote (GCRR)
2022,1,JAN,1-Jan-2022,LFLL,Lyon-Saint-Exupéry,France,75,,,,,,,,,,,,,,,,,,,,v2,Lyon-Saint-Exupéry (LFLL)
2022,1,JAN,1-Jan-2022,EGCC,Manchester,United Kingdom,129,,,,,,,,,,,,,,,,,,,,v2,Manchester (EGCC)
2022,1,JAN,1-Jan-2022,ESGG,Göteborg,Sweden,37,,,,,,,,,,,,,,,,,,,,v2,Göteborg (ESGG)
2022,1,JAN,1-Jan-2022,LFBT,Tarbes-Lourdes Pyrénées,France,4,,,,,,,,,,,,,,,,,,,,v2,Tarbes-Lourdes Pyrénées (LFBT)
2022,1,JAN,1-Jan-2022,ENZV,Stavanger,Norway,35,,,,,,,,,,,,,,,,,,,,v2,Stavanger (ENZV)
2022,1,JAN,1-Jan-2022,GMAD,Agadir,Morocco,3,,,,,,,,,,,,,,,,,,,,v2,Agadir (GMAD)
2022,1,JAN,1-Jan-2022,LEBB,Bilbao,Spain,31,,,,,,,,,,,,,,,,,,,,v2,Bilbao (LEBB)
2022,1,JAN,1-Jan-2022,LEZG,Zaragoza,Spain,16,,,,,,,,,,,,,,,,,,,,v2,Zaragoza (LEZG)
2022,1,JAN,1-Jan-2022,EGSS,London/ Stansted,United Kingdom,165,,,,,,,,,,,,,,,,,,,,v2,London/ Stansted (EGSS)
2022,1,JAN,1-Jan-2022,LGIR,Heraklion,Greece,9,,,,,,,,,,,,,,,,,,,,v2,Heraklion (LGIR)
2022,1,JAN,1-Jan-2022,LUKK,Chișinău,Moldova,17,,,,,,,,,,,,,,,,,,,,v2,Chișinău (LUKK)
2022,1,JAN,1-Jan-2022,EGPH,Edinburgh,United Kingdom,55,,,,,,,,,,,,,,,,,,,,v2,Edinburgh (EGPH)
2022,1,JAN,1-Jan-2022,EIDW,Dublin,Ireland,184,,,,,,,,,,,,,,,,,,,,v2,Dublin (EIDW)
2022,1,JAN,1-Jan-2022,GCFV,Fuerteventura,Spain,91,,,,,,,,,,,,,,,,,,,,v2,Fuerteventura (GCFV)
